date,volume,turnover,open,high,low,close,change,transaction
2010-07-01,102835.184,1756787365,16.65,17.6,16.35,17.55,1.1,19010
2010-07-02,51162.792,892409454,17.65,17.7,17.15,17.25,-0.3,10814
2010-07-05,32598.376,561739443,17.25,17.4,17.0,17.2,-0.05,6452
2010-07-06,85382.768,1529143285,17.4,18.35,17.4,17.9,0.7,14144
2010-07-07,81239.915,1506553212,18.0,18.9,17.8,18.9,1.0,14271
2010-07-08,79203.519,1531565911,19.05,19.7,18.9,19.1,0.2,13548
2010-07-09,43089.184,816333367,19.3,19.45,18.6,18.7,-0.4,8257
2010-07-12,50668.25,916543394,18.5,18.55,17.95,17.95,-0.75,11175
2010-07-13,31881.169,577710242,17.9,18.35,17.85,18.0,0.05,6737
2010-07-14,62683.03,1184203210,18.3,19.25,18.25,19.25,1.25,12124
2010-07-15,50175.582,976812207,19.25,19.7,19.1,19.4,0.15,9926
2010-07-16,39756.041,777332670,19.5,19.85,19.25,19.7,0.3,7257
2010-07-19,26731.544,521455499,19.6,19.75,19.25,19.3,-0.4,5195
2010-07-20,50605.959,941936409,19.3,19.4,18.35,18.55,-0.75,9893
2010-07-21,68200.761,1310011957,18.85,19.6,18.6,19.6,1.05,12227
2010-07-22,64665.752,1316362077,19.8,20.65,19.8,20.5,0.9,12261
2010-07-23,70583.281,1462274785,20.65,21.1,20.2,20.85,0.35,13110
2010-07-26,41094.124,861789604,20.9,21.1,20.75,21.1,0.25,6471
2010-07-27,33845.768,710686829,21.1,21.3,20.8,20.9,-0.2,5499
2010-07-28,47484.317,984789457,20.9,21.15,20.35,21.15,0.25,7968
2010-07-29,38854.758,822002419,21.2,21.75,20.65,21.5,0.35,8330
2010-07-30,23721.646,500827035,21.2,21.4,20.75,20.75,-0.75,5267
